season,team,actual_finish_this_season,prior_season_position,expectation_baseline,source
0506,Chelsea,1,,,no_prior_data
0506,Man United,2,,,no_prior_data
0506,Liverpool,3,,,no_prior_data
0506,Arsenal,4,,,no_prior_data
0506,Tottenham,5,,,no_prior_data
0506,Blackburn,6,,,no_prior_data
0506,Newcastle,7,,,no_prior_data
0506,Bolton,8,,,no_prior_data
0506,West Ham,9,,,no_prior_data
0506,Wigan,10,,,no_prior_data
0506,Everton,11,,,no_prior_data
0506,Fulham,12,,,no_prior_data
0506,Charlton,13,,,no_prior_data
0506,Middlesbrough,14,,,no_prior_data
0506,Man City,15,,,no_prior_data
0506,Aston Villa,16,,,no_prior_data
0506,Portsmouth,17,,,no_prior_data
0506,Birmingham,18,,,no_prior_data
0506,West Brom,19,,,no_prior_data
0506,Sunderland,20,,,no_prior_data
0607,Man United,1,2,2,prior_finish
0607,Chelsea,2,1,1,prior_finish
0607,Arsenal,3,4,4,prior_finish
0607,Liverpool,3,3,3,prior_finish
0607,Tottenham,5,5,5,prior_finish
0607,Everton,6,11,11,prior_finish
0607,Bolton,7,8,8,prior_finish
0607,Reading,8,,17,promoted_assumed
0607,Portsmouth,9,17,17,prior_finish
0607,Blackburn,10,6,6,prior_finish
0607,Aston Villa,11,16,16,prior_finish
0607,Middlesbrough,12,14,14,prior_finish
0607,Newcastle,13,7,7,prior_finish
0607,Man City,14,15,15,prior_finish
0607,West Ham,15,9,9,prior_finish
0607,Fulham,16,12,12,prior_finish
0607,Sheffield United,17,,17,promoted_assumed
0607,Wigan,17,10,10,prior_finish
0607,Charlton,19,13,13,prior_finish
0607,Watford,20,,17,promoted_assumed
0708,Man United,1,1,1,prior_finish
0708,Chelsea,2,2,2,prior_finish
0708,Arsenal,3,3,3,prior_finish
0708,Liverpool,4,3,3,prior_finish
0708,Everton,5,6,6,prior_finish
0708,Aston Villa,6,11,11,prior_finish
0708,Blackburn,7,10,10,prior_finish
0708,Portsmouth,8,9,9,prior_finish
0708,Man City,9,14,14,prior_finish
0708,West Ham,10,15,15,prior_finish
0708,Tottenham,11,5,5,prior_finish
0708,Newcastle,12,13,13,prior_finish
0708,Middlesbrough,13,12,12,prior_finish
0708,Wigan,14,17,17,prior_finish
0708,Sunderland,15,,17,promoted_assumed
0708,Bolton,16,7,7,prior_finish
0708,Reading,17,8,8,prior_finish
0708,Fulham,17,16,16,prior_finish
0708,Birmingham,19,,17,promoted_assumed
0708,Derby,20,,17,promoted_assumed
0809,Man United,1,1,1,prior_finish
0809,Liverpool,2,4,4,prior_finish
0809,Chelsea,3,2,2,prior_finish
0809,Arsenal,4,3,3,prior_finish
0809,Everton,5,5,5,prior_finish
0809,Aston Villa,6,6,6,prior_finish
0809,Fulham,7,17,17,prior_finish
0809,West Ham,8,10,10,prior_finish
0809,Tottenham,8,11,11,prior_finish
0809,Man City,10,9,9,prior_finish
0809,Wigan,11,14,14,prior_finish
0809,Stoke,11,,17,promoted_assumed
0809,Portsmouth,13,8,8,prior_finish
0809,Blackburn,13,7,7,prior_finish
0809,Bolton,13,16,16,prior_finish
0809,Sunderland,16,15,15,prior_finish
0809,Hull,17,,17,promoted_assumed
0809,Newcastle,18,12,12,prior_finish
0809,West Brom,19,,17,promoted_assumed
0809,Middlesbrough,19,13,13,prior_finish
0910,Chelsea,1,3,3,prior_finish
0910,Man United,2,1,1,prior_finish
0910,Arsenal,3,4,4,prior_finish
0910,Tottenham,4,8,8,prior_finish
0910,Man City,5,10,10,prior_finish
0910,Aston Villa,6,6,6,prior_finish
0910,Liverpool,7,2,2,prior_finish
0910,Everton,8,5,5,prior_finish
0910,Birmingham,9,,17,promoted_assumed
0910,Blackburn,9,13,13,prior_finish
0910,Stoke,11,11,11,prior_finish
0910,Fulham,12,7,7,prior_finish
0910,Sunderland,13,16,16,prior_finish
0910,Bolton,14,13,13,prior_finish
0910,Wolves,15,,17,promoted_assumed
0910,Wigan,16,11,11,prior_finish
0910,West Ham,17,8,8,prior_finish
0910,Hull,18,17,17,prior_finish
0910,Burnley,18,,17,promoted_assumed
0910,Portsmouth,20,13,13,prior_finish
1011,Man United,1,2,2,prior_finish
1011,Man City,2,5,5,prior_finish
1011,Chelsea,2,1,1,prior_finish
1011,Arsenal,4,3,3,prior_finish
1011,Tottenham,5,4,4,prior_finish
1011,Liverpool,6,7,7,prior_finish
1011,Everton,7,8,8,prior_finish
1011,Fulham,8,12,12,prior_finish
1011,Aston Villa,9,6,6,prior_finish
1011,Sunderland,10,13,13,prior_finish
1011,West Brom,10,,17,promoted_assumed
1011,Newcastle,12,,17,promoted_assumed
1011,Stoke,12,11,11,prior_finish
1011,Bolton,12,14,14,prior_finish
1011,Blackburn,15,9,9,prior_finish
1011,Wigan,16,16,16,prior_finish
1011,Wolves,17,15,15,prior_finish
1011,Blackpool,18,,17,promoted_assumed
1011,Birmingham,18,9,9,prior_finish
1011,West Ham,20,17,17,prior_finish
1112,Man United,1,1,1,prior_finish
1112,Man City,1,2,2,prior_finish
1112,Arsenal,3,4,4,prior_finish
1112,Tottenham,4,5,5,prior_finish
1112,Newcastle,5,12,12,prior_finish
1112,Chelsea,6,2,2,prior_finish
1112,Everton,7,7,7,prior_finish
1112,Liverpool,8,6,6,prior_finish
1112,Fulham,8,8,8,prior_finish
1112,West Brom,10,10,10,prior_finish
1112,Swansea,10,,17,promoted_assumed
1112,Norwich,10,,17,promoted_assumed
1112,Sunderland,13,10,10,prior_finish
1112,Stoke,13,12,12,prior_finish
1112,Wigan,15,16,16,prior_finish
1112,Aston Villa,16,9,9,prior_finish
1112,QPR,17,,17,promoted_assumed
1112,Bolton,18,12,12,prior_finish
1112,Blackburn,19,15,15,prior_finish
1112,Wolves,20,17,17,prior_finish
1213,Man United,1,1,1,prior_finish
1213,Man City,2,1,1,prior_finish
1213,Chelsea,3,6,6,prior_finish
1213,Arsenal,4,3,3,prior_finish
1213,Tottenham,5,4,4,prior_finish
1213,Everton,6,7,7,prior_finish
1213,Liverpool,7,8,8,prior_finish
1213,West Brom,8,10,10,prior_finish
1213,Swansea,9,10,10,prior_finish
1213,West Ham,9,,17,promoted_assumed
1213,Norwich,11,10,10,prior_finish
1213,Fulham,12,8,8,prior_finish
1213,Stoke,13,13,13,prior_finish
1213,Aston Villa,14,16,16,prior_finish
1213,Newcastle,14,5,5,prior_finish
1213,Southampton,14,,17,promoted_assumed
1213,Sunderland,17,13,13,prior_finish
1213,Wigan,18,15,15,prior_finish
1213,Reading,19,,17,promoted_assumed
1213,QPR,20,17,17,prior_finish
1314,Man City,1,2,2,prior_finish
1314,Liverpool,2,7,7,prior_finish
1314,Chelsea,3,3,3,prior_finish
1314,Arsenal,4,4,4,prior_finish
1314,Everton,5,6,6,prior_finish
1314,Tottenham,6,5,5,prior_finish
1314,Man United,7,1,1,prior_finish
1314,Southampton,8,14,14,prior_finish
