manager,nationality,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,club
Marcelo Bielsa,Argentina,15/06/2018,27/02/2022,0,0,1353,,,,Leeds
Mauricio Pellegrino,Argentina,23/06/2017,12/03/2018,0,0,262,,,,Southampton
Mauricio Pochettino,Argentina,18/01/2013,27/05/2014,0,0,494,,,,Southampton
Mauricio Pochettino,Argentina,01/07/2023,21/05/2024,0,0,325,,,,Chelsea
Mauricio Pochettino,Argentina,27/05/2014,19/11/2019,0,0,2002,,,,Tottenham
Ange Postecoglou,Australia,06/06/2023,06/06/2025,0,0,731,,,,Tottenham
Ange Postecoglou,Australia,09/09/2025,18/10/2025,0,0,39,,,,Nott'm Forest
Oliver Glasner,Austria,19/02/2024,27/05/2026,0,0,829,,,,Crystal Palace
Ralph Hasenhüttl,Austria,06/12/2018,07/11/2022,0,0,1432,,,,Southampton
Vincent Kompany,Belgium,14/06/2022,29/05/2024,0,0,715,,,,Burnley
Sergej Jakirović,Bosnia and Herzegovina,11/06/2025,,1,0,384,,,,Hull
Luiz Felipe Scolari,Brazil,01/07/2008,09/02/2009,0,0,223,,,,Chelsea
Manuel Pellegrini,Chile,14/06/2013,30/06/2016,0,0,1112,,,,Man City
Manuel Pellegrini,Chile,22/05/2018,28/12/2019,0,0,585,,,,West Ham
Igor Tudor,Croatia,14/02/2026,29/03/2026,0,0,43,,,,Tottenham
Ivan Jurić,Croatia,23/12/2024,07/04/2025,0,0,105,,,,Southampton
Slaven Bilić,Croatia,09/06/2015,06/11/2017,0,0,881,,,,West Ham
Slaven Bilić,Croatia,13/06/2019,16/12/2020,0,0,552,,,,West Brom
Michael Laudrup,Denmark,15/06/2012,04/02/2014,0,0,599,,,,Swansea
Thomas Frank,Denmark,16/10/2018,12/06/2025,0,0,2431,,,,Brentford
Thomas Frank,Denmark,12/06/2025,11/02/2026,0,0,244,,,,Tottenham
Unai Emery,ESP,23/05/2018,29/11/2019,0,0,555,,,,Arsenal
Aaron Danks,England,21/10/2022,31/10/2022,0,1,10,,,,Aston Villa
Adam Sadler,England,24/02/2019,26/02/2019,0,1,2,,,,Leicester
