season,match_date,team,manager,manager_start_date,points,points_last_5,points_last_10,matches_into_tenure_so_far,tenure_days_so_far,league_position_before_match,points_to_date,gd_to_date,expectation_baseline,expectation_source,expectation_gap,event_observed,event_type,tenure_total_duration_days,tenure_end_date
0506,03/01/2006,Man United,Alex Ferguson,06/11/1986,1,13,26,20,6998,1,44,23,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,06/11/2005,Man United,Alex Ferguson,06/11/1986,3,7,18,10,6940,2,18,4,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,17/12/2005,Man United,Alex Ferguson,06/11/1986,3,13,23,16,6981,1,34,15,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,29/03/2006,Man United,Alex Ferguson,06/11/1986,3,15,22,30,7083,1,66,32,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,29/10/2005,Man United,Alex Ferguson,06/11/1986,0,8,18,9,6932,5,18,7,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,12/03/2006,Man United,Alex Ferguson,06/11/1986,3,12,20,27,7066,1,57,26,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,22/10/2005,Man United,Alex Ferguson,06/11/1986,1,8,17,8,6925,2,17,7,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,27/11/2005,Man United,Alex Ferguson,06/11/1986,3,10,18,12,6961,1,24,7,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,17/04/2006,Man United,Alex Ferguson,06/11/1986,3,13,28,34,7102,2,76,36,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,11/12/2005,Man United,Alex Ferguson,06/11/1986,1,12,20,14,6975,1,30,11,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,26/03/2006,Man United,Alex Ferguson,06/11/1986,3,15,22,29,7080,1,63,29,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,13/08/2005,Man United,Alex Ferguson,06/11/1986,3,,,0,6855,1,0,0,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,18/09/2005,Man United,Alex Ferguson,06/11/1986,1,10,10,4,6891,2,10,5,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,07/05/2006,Man United,Alex Ferguson,06/11/1986,3,8,23,37,7122,2,80,34,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,01/04/2006,Man United,Alex Ferguson,06/11/1986,3,15,24,31,7086,2,69,33,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,20/08/2005,Man United,Alex Ferguson,06/11/1986,3,3,3,1,6862,1,3,2,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,28/08/2005,Man United,Alex Ferguson,06/11/1986,3,6,6,2,6870,1,6,3,,no_prior_data,,0,end_of_season,9704,01/06/2013
0506,04/02/2006,Man United,Alex Ferguson,06/11/1986,3,7,18,24,7030,1,48,21,,no_prior_data,,0,end_of_season,9704,01/06/2013
