season,season_start_date,season_end_date
0506,13/08/2005,07/05/2006
0607,19/08/2006,13/05/2007
0708,11/08/2007,11/05/2008
0809,16/08/2008,24/05/2009
0910,15/08/2009,09/05/2010
1011,14/08/2010,22/05/2011
1112,13/08/2011,13/05/2012
1213,18/08/2012,19/05/2013
1314,17/08/2013,11/05/2014
1415,16/08/2014,24/05/2015
1516,08/08/2015,17/05/2016
1617,13/08/2016,21/05/2017
1718,11/08/2017,13/05/2018
1819,10/08/2018,12/05/2019
1920,09/08/2019,26/07/2020
2021,12/09/2020,23/05/2021
2122,13/08/2021,22/05/2022
2223,05/08/2022,28/05/2023
2324,11/08/2023,19/05/2024
2425,16/08/2024,25/05/2025
2526,15/08/2025,24/05/2026
