season,team,total_points,final_position
0506,Chelsea,91,1
0506,Man United,83,2
0506,Liverpool,82,3
0506,Arsenal,67,4
0506,Tottenham,65,5
0506,Blackburn,63,6
0506,Newcastle,58,7
0506,Bolton,56,8
0506,West Ham,55,9
0506,Wigan,51,10
0506,Everton,50,11
0506,Fulham,48,12
0506,Charlton,47,13
0506,Middlesbrough,45,14
0506,Man City,43,15
0506,Aston Villa,42,16
0506,Portsmouth,38,17
0506,Birmingham,34,18
0506,West Brom,30,19
0506,Sunderland,15,20
0607,Man United,89,1
0607,Chelsea,83,2
0607,Arsenal,68,3
0607,Liverpool,68,3
0607,Tottenham,60,5
0607,Everton,58,6
0607,Bolton,56,7
0607,Reading,55,8
0607,Portsmouth,54,9
0607,Blackburn,52,10
0607,Aston Villa,50,11
0607,Middlesbrough,46,12
0607,Newcastle,43,13
0607,Man City,42,14
0607,West Ham,41,15
0607,Fulham,39,16
0607,Sheffield United,38,17
0607,Wigan,38,17
0607,Charlton,34,19
0607,Watford,28,20
0708,Man United,87,1
0708,Chelsea,85,2
0708,Arsenal,83,3
0708,Liverpool,76,4
0708,Everton,65,5
0708,Aston Villa,60,6
0708,Blackburn,58,7
0708,Portsmouth,57,8
0708,Man City,55,9
0708,West Ham,49,10
0708,Tottenham,46,11
0708,Newcastle,43,12
0708,Middlesbrough,42,13
0708,Wigan,40,14
0708,Sunderland,39,15
0708,Bolton,37,16
0708,Reading,36,17
0708,Fulham,36,17
0708,Birmingham,35,19
0708,Derby,11,20
0809,Man United,90,1
0809,Liverpool,86,2
0809,Chelsea,83,3
0809,Arsenal,72,4
0809,Everton,63,5
0809,Aston Villa,62,6
0809,Fulham,53,7
0809,West Ham,51,8
0809,Tottenham,51,8
0809,Man City,50,10
0809,Wigan,45,11
0809,Stoke,45,11
0809,Portsmouth,41,13
0809,Blackburn,41,13
0809,Bolton,41,13
0809,Sunderland,36,16
0809,Hull,35,17
0809,Newcastle,34,18
0809,West Brom,32,19
0809,Middlesbrough,32,19
0910,Chelsea,86,1
0910,Man United,85,2
0910,Arsenal,75,3
0910,Tottenham,70,4
0910,Man City,67,5
0910,Aston Villa,64,6
0910,Liverpool,63,7
0910,Everton,61,8
0910,Birmingham,50,9
0910,Blackburn,50,9
0910,Stoke,47,11
0910,Fulham,46,12
0910,Sunderland,44,13
0910,Bolton,39,14
0910,Wolves,38,15
0910,Wigan,36,16
0910,West Ham,35,17
0910,Hull,30,18
0910,Burnley,30,18
0910,Portsmouth,28,20
1011,Man United,80,1
1011,Man City,71,2
1011,Chelsea,71,2
1011,Arsenal,68,4
1011,Tottenham,62,5
1011,Liverpool,58,6
1011,Everton,54,7
1011,Fulham,49,8
1011,Aston Villa,48,9
1011,Sunderland,47,10
1011,West Brom,47,10
1011,Newcastle,46,12
1011,Stoke,46,12
1011,Bolton,46,12
1011,Blackburn,43,15
1011,Wigan,42,16
1011,Wolves,40,17
1011,Blackpool,39,18
1011,Birmingham,39,18
1011,West Ham,33,20
1112,Man United,89,1
1112,Man City,89,1
1112,Arsenal,70,3
1112,Tottenham,69,4
1112,Newcastle,65,5
1112,Chelsea,64,6
1112,Everton,56,7
1112,Liverpool,52,8
1112,Fulham,52,8
1112,West Brom,47,10
1112,Swansea,47,10
1112,Norwich,47,10
1112,Sunderland,45,13
1112,Stoke,45,13
1112,Wigan,43,15
1112,Aston Villa,38,16
1112,QPR,37,17
1112,Bolton,36,18
1112,Blackburn,31,19
1112,Wolves,25,20
1213,Man United,89,1
1213,Man City,78,2
1213,Chelsea,75,3
1213,Arsenal,73,4
1213,Tottenham,72,5
1213,Everton,63,6
1213,Liverpool,61,7
1213,West Brom,49,8
1213,Swansea,46,9
1213,West Ham,46,9
1213,Norwich,44,11
1213,Fulham,43,12
1213,Stoke,42,13
1213,Aston Villa,41,14
1213,Newcastle,41,14
1213,Southampton,41,14
1213,Sunderland,39,17
1213,Wigan,36,18
1213,Reading,28,19
1213,QPR,25,20
1314,Man City,86,1
1314,Liverpool,84,2
1314,Chelsea,82,3
1314,Arsenal,79,4
1314,Everton,72,5
1314,Tottenham,69,6
1314,Man United,64,7
1314,Southampton,56,8
1314,Stoke,50,9
1314,Newcastle,49,10
1314,Crystal Palace,45,11
1314,Swansea,42,12
1314,West Ham,40,13
1314,Aston Villa,38,14
1314,Sunderland,38,14
1314,Hull,37,16
1314,West Brom,36,17
1314,Norwich,33,18
1314,Fulham,32,19
1314,Cardiff,30,20
1415,Chelsea,87,1
1415,Man City,79,2
1415,Arsenal,75,3
1415,Man United,70,4
1415,Tottenham,64,5
1415,Liverpool,62,6
1415,Southampton,60,7
1415,Swansea,56,8
1415,Stoke,54,9
1415,Crystal Palace,48,10
1415,Everton,47,11
1415,West Ham,47,11
1415,West Brom,44,13
1415,Leicester,41,14
1415,Newcastle,39,15
1415,Aston Villa,38,16
1415,Sunderland,38,16
1415,Hull,35,18
1415,Burnley,33,19
1415,QPR,30,20
1516,Leicester,81,1
1516,Arsenal,71,2
1516,Tottenham,70,3
1516,Man City,66,4
1516,Man United,66,4
1516,Southampton,63,6
1516,West Ham,62,7
1516,Liverpool,60,8
1516,Stoke,51,9
1516,Chelsea,50,10
1516,Everton,47,11
1516,Swansea,47,11
1516,Watford,45,13
1516,West Brom,43,14
1516,Crystal Palace,42,15
1516,Bournemouth,42,15
1516,Sunderland,39,17
1516,Newcastle,37,18
1516,Norwich,34,19
1516,Aston Villa,17,20
1617,Chelsea,93,1
1617,Tottenham,86,2
1617,Man City,78,3
1617,Liverpool,76,4
1617,Arsenal,75,5
1617,Man United,69,6
1617,Everton,61,7
1617,Southampton,46,8
1617,Bournemouth,46,8
1617,West Brom,45,10
1617,West Ham,45,10
1617,Stoke,44,12
1617,Leicester,44,12
1617,Swansea,41,14
1617,Crystal Palace,41,14
1617,Watford,40,16
1617,Burnley,40,16
1617,Hull,34,18
1617,Middlesbrough,28,19
1617,Sunderland,24,20
1718,Man City,100,1
1718,Man United,81,2
1718,Tottenham,77,3
1718,Liverpool,75,4
1718,Chelsea,70,5
1718,Arsenal,63,6
1718,Burnley,54,7
1718,Everton,49,8
1718,Leicester,47,9
1718,Newcastle,44,10
1718,Bournemouth,44,10
1718,Crystal Palace,44,10
1718,West Ham,42,13
1718,Watford,41,14
1718,Brighton,40,15
1718,Huddersfield,37,16
1718,Southampton,36,17
1718,Swansea,33,18
1718,Stoke,33,18
1718,West Brom,31,20
1819,Man City,98,1
1819,Liverpool,97,2
1819,Chelsea,72,3
1819,Tottenham,71,4
1819,Arsenal,70,5
1819,Man United,66,6
1819,Wolves,57,7
1819,Everton,54,8
1819,Leicester,52,9
1819,West Ham,52,9
1819,Watford,50,11
1819,Crystal Palace,49,12
1819,Newcastle,45,13
1819,Bournemouth,45,13
1819,Burnley,40,15
1819,Southampton,39,16
1819,Brighton,36,17
1819,Cardiff,34,18
1819,Fulham,26,19
1819,Huddersfield,16,20
1920,Liverpool,99,1
1920,Man City,81,2
1920,Chelsea,66,3
1920,Man United,66,3
1920,Leicester,62,5
1920,Wolves,59,6
1920,Tottenham,59,6
1920,Arsenal,56,8
1920,Sheffield United,54,9
1920,Burnley,54,9
1920,Southampton,52,11
1920,Everton,49,12
1920,Newcastle,44,13
1920,Crystal Palace,43,14
1920,Brighton,41,15
1920,West Ham,39,16
1920,Aston Villa,35,17
1920,Bournemouth,34,18
1920,Watford,34,18
1920,Norwich,21,20
2021,Man City,86,1
2021,Man United,74,2
2021,Liverpool,69,3
2021,Chelsea,67,4
2021,Leicester,66,5
2021,West Ham,65,6
2021,Tottenham,62,7
2021,Arsenal,61,8
2021,Everton,59,9
2021,Leeds,59,9
2021,Aston Villa,55,11
2021,Newcastle,45,12
2021,Wolves,45,12
2021,Crystal Palace,44,14
2021,Southampton,43,15
2021,Brighton,41,16
2021,Burnley,39,17
2021,Fulham,28,18
2021,West Brom,26,19
2021,Sheffield United,23,20
2122,Man City,93,1
2122,Liverpool,92,2
2122,Chelsea,74,3
2122,Tottenham,71,4
2122,Arsenal,69,5
2122,Man United,58,6
2122,West Ham,56,7
2122,Leicester,52,8
2122,Brighton,51,9
2122,Wolves,51,9
2122,Newcastle,49,11
2122,Crystal Palace,48,12
2122,Brentford,46,13
2122,Aston Villa,45,14
2122,Southampton,40,15
2122,Everton,39,16
2122,Leeds,38,17
2122,Burnley,35,18
2122,Watford,23,19
2122,Norwich,22,20
2223,Man City,89,1
2223,Arsenal,84,2
2223,Man United,75,3
2223,Newcastle,71,4
2223,Liverpool,67,5
2223,Brighton,62,6
2223,Aston Villa,61,7
2223,Tottenham,60,8
2223,Brentford,59,9
2223,Fulham,52,10
2223,Crystal Palace,45,11
2223,Chelsea,44,12
2223,Wolves,41,13
2223,West Ham,40,14
2223,Bournemouth,39,15
2223,Nott'm Forest,38,16
2223,Everton,36,17
2223,Leicester,34,18
2223,Leeds,31,19
2223,Southampton,25,20
