wikipedia_name,matches_name
Hull City,Hull
Queens Park Rangers,QPR
Cardiff City,Cardiff
Manchester City,Man City
Charlton Athletic,Charlton
Luton Town,Luton
Wigan Athletic,Wigan
Wolverhampton Wanderers,Wolves
Tottenham Hotspur,Tottenham
Bolton Wanderers,Bolton
Coventry City,Coventry
Swansea City,Swansea
Newcastle United,Newcastle
Birmingham City,Birmingham
Norwich City,Norwich
Huddersfield Town,Huddersfield
Nottingham Forest,Nott'm Forest
Derby County,Derby
Leicester City,Leicester
West Ham United,West Ham
Ipswich Town,Ipswich
West Bromwich Albion,West Brom
Stoke City,Stoke
Blackburn Rovers,Blackburn
Brighton & Hove Albion,Brighton
Leeds United,Leeds
Manchester United,Man United
