manager,nationality,club,start_date,end_date,duration_days,event_observed,event_type
Mauricio Pochettino,Argentina,Chelsea,01/07/2023,21/05/2024,325,0,end_of_season
Mauricio Pochettino,Argentina,Southampton,18/01/2013,27/05/2014,494,0,end_of_season
Mauricio Pochettino,Argentina,Tottenham,27/05/2014,19/11/2019,2002,1,sacked
Marcelo Bielsa,Argentina,Leeds,15/06/2018,27/02/2022,1353,1,sacked
Mauricio Pellegrino,Argentina,Southampton,23/06/2017,12/03/2018,262,1,sacked
Ange Postecoglou,Australia,Tottenham,06/06/2023,06/06/2025,731,0,end_of_season
Ange Postecoglou,Australia,Nott'm Forest,09/09/2025,18/10/2025,39,1,sacked
Oliver Glasner,Austria,Crystal Palace,19/02/2024,27/05/2026,829,0,end_of_season
Ralph Hasenhüttl,Austria,Southampton,06/12/2018,07/11/2022,1432,1,sacked
Vincent Kompany,Belgium,Burnley,14/06/2022,29/05/2024,715,0,end_of_season
Sergej Jakirović,Bosnia and Herzegovina,Hull,11/06/2025,,384,0,incumbent
Luiz Felipe Scolari,Brazil,Chelsea,01/07/2008,09/02/2009,223,1,sacked
Manuel Pellegrini,Chile,Man City,14/06/2013,30/06/2016,1112,0,end_of_season
Manuel Pellegrini,Chile,West Ham,22/05/2018,28/12/2019,585,1,sacked
Ivan Jurić,Croatia,Southampton,23/12/2024,07/04/2025,105,1,sacked
Slaven Bilić,Croatia,West Brom,13/06/2019,16/12/2020,552,1,sacked
Igor Tudor,Croatia,Tottenham,14/02/2026,29/03/2026,43,1,sacked
Slaven Bilić,Croatia,West Ham,09/06/2015,06/11/2017,881,1,sacked
Thomas Frank,Denmark,Brentford,16/10/2018,12/06/2025,2431,0,end_of_season
Michael Laudrup,Denmark,Swansea,15/06/2012,04/02/2014,599,1,sacked
Thomas Frank,Denmark,Tottenham,12/06/2025,11/02/2026,244,1,sacked
Unai Emery,ESP,Arsenal,23/05/2018,29/11/2019,555,1,sacked
John Carver,England,Newcastle,02/01/2015,10/06/2015,159,0,end_of_season
Stuart Pearce,England,Man City,21/03/2005,14/05/2007,784,0,end_of_season
Steve Bruce,England,Hull,08/06/2012,22/07/2016,1505,0,end_of_season
Tony Mowbray,England,West Brom,18/10/2006,16/06/2009,972,0,end_of_season
Alan Curbishley,England,Charlton,24/07/1991,08/05/2006,5402,0,end_of_season
David Unsworth,England,Everton,12/05/2016,14/06/2016,33,0,end_of_season
Calum McFarlane,England,Chelsea,22/04/2026,30/06/2026,69,0,end_of_season
