manager,nationality,club,start_date,end_date,is_incumbent,is_caretaker,duration_days
Sergej Jakirović,Bosnia and Herzegovina,Hull City,11/06/2025,,1,0,384
Michael Carrick,England,Manchester United,13/01/2026,,1,0,168
Eddie Howe,England,Newcastle United,08/11/2021,,1,0,1695
Frank Lampard,England,Coventry City,28/11/2024,,1,0,579
Régis Le Bris,France,Sunderland,01/07/2024,,1,0,729
Daniel Farke,Germany,Leeds United,04/07/2023,,1,0,1092
Fabian Hürzeler,Germany,Brighton & Hove Albion,02/07/2024,,1,0,728
Roberto De Zerbi,Italy,Tottenham Hotspur,31/03/2026,,1,0,91
Nuno Espírito Santo,Portugal,West Ham United,27/09/2025,,0,0,276
Vítor Pereira,Portugal,Nottingham Forest,15/02/2026,,1,0,135
Keith Andrews,Republic of Ireland,Brentford,27/06/2025,,1,0,368
David Moyes,Scotland,Everton,11/01/2025,,1,0,535
Unai Emery,Spain,Aston Villa,01/11/2022,,1,0,1337
Mikel Arteta,Spain,Arsenal,22/12/2019,,1,0,2382
