manager,nationality,club,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,departure_timing
Arsène Wenger,France,Arsenal,01/10/1996,13/05/2018,0,0,7894,,,,mid_season
Unai Emery,ESP,Arsenal,23/05/2018,29/11/2019,0,0,555,,,,mid_season
Paul Lambert,Scotland,Aston Villa,02/06/2012,11/02/2015,0,0,985,,,,mid_season
Tim Sherwood,England,Aston Villa,14/02/2015,25/10/2015,0,0,253,,,,mid_season
Rémi Garde,France,Aston Villa,02/11/2015,29/03/2016,0,0,148,,,,mid_season
Dean Smith,England,Aston Villa,10/10/2018,07/11/2021,0,0,1124,,,,mid_season
Steven Gerrard,England,Aston Villa,11/11/2021,20/10/2022,0,0,343,,,,mid_season
Steve Bruce,England,Birmingham City,12/12/2001,23/11/2007,0,0,2172,,,,mid_season
Paul Ince,England,Blackburn Rovers,22/06/2008,16/12/2008,0,0,177,,,,mid_season
Sam Allardyce,England,Blackburn Rovers,17/12/2008,13/12/2010,0,0,726,,,,mid_season
Steve Kean,Scotland,Blackburn Rovers,13/12/2010,28/09/2012,0,0,655,,,,mid_season
Ian Holloway,England,Blackpool,21/05/2009,03/11/2012,0,0,1262,,,,mid_season
Sam Allardyce,England,Bolton Wanderers,19/10/1999,29/04/2007,0,0,2749,,,,mid_season
Sammy Lee,England,Bolton Wanderers,30/04/2007,07/10/2007,0,0,160,,,,mid_season
Gary Megson,England,Bolton Wanderers,25/10/2007,30/12/2009,0,0,797,,,,mid_season
Owen Coyle,Republic of Ireland,Bolton Wanderers,08/01/2010,09/10/2012,0,0,1005,,,,mid_season
Scott Parker,England,Bournemouth,28/06/2021,30/08/2022,0,0,428,,,,mid_season
Andoni Iraola,Spain,Bournemouth,19/06/2023,24/05/2026,0,0,1070,,,,mid_season
Graham Potter,England,Brighton & Hove Albion,20/05/2019,08/09/2022,0,0,1207,,,,mid_season
Roberto De Zerbi,Italy,Brighton & Hove Albion,18/09/2022,19/05/2024,0,0,1381,,,,mid_season
Owen Coyle,Republic of Ireland,Burnley,27/11/2007,05/01/2010,0,0,770,,,,mid_season
Brian Laws,England,Burnley,13/01/2010,29/12/2010,0,0,350,,,,mid_season
Sean Dyche,England,Burnley,30/10/2012,15/04/2022,0,0,3454,,,,mid_season
Scott Parker,England,Burnley,05/07/2024,30/04/2026,0,0,664,,,,mid_season
Malky Mackay,Scotland,Cardiff City,17/06/2011,27/12/2013,0,0,924,,,,mid_season
Ole Gunnar Solskjær,Norway,Cardiff City,02/01/2014,18/09/2014,0,0,259,,,,mid_season
Neil Warnock,England,Cardiff City,05/10/2016,11/11/2019,0,0,1132,,,,mid_season
Iain Dowie,Northern Ireland,Charlton Athletic,30/05/2006,13/11/2006,0,0,167,,,,mid_season
